country,population,land_area,link
 India ," 1,476,625,576 "," 2,973,190 ",https://www.worldometers.info/world-population/india-population/
 China ," 1,412,914,089 "," 9,388,211 ",https://www.worldometers.info/world-population/china-population/
 United States ," 349,035,494 "," 9,147,420 ",https://www.worldometers.info/world-population/us-population/
 Indonesia ," 287,886,782 "," 1,811,570 ",https://www.worldometers.info/world-population/indonesia-population/
 Pakistan ," 259,299,791 "," 770,880 ",https://www.worldometers.info/world-population/pakistan-population/
 Nigeria ," 242,431,832 "," 910,770 ",https://www.worldometers.info/world-population/nigeria-population/
 Brazil ," 213,562,666 "," 8,358,140 ",https://www.worldometers.info/world-population/brazil-population/
 Bangladesh ," 177,818,044 "," 130,170 ",https://www.worldometers.info/world-population/bangladesh-population/
 Russia ," 143,394,458 "," 16,376,870 ",https://www.worldometers.info/world-population/russia-population/
 Ethiopia ," 138,902,185 "," 1,000,000 ",https://www.worldometers.info/world-population/ethiopia-population/
 Mexico ," 132,997,658 "," 1,943,950 ",https://www.worldometers.info/world-population/mexico-population/
 Japan ," 122,427,731 "," 364,555 ",https://www.worldometers.info/world-population/japan-population/
 Egypt ," 120,101,175 "," 995,450 ",https://www.worldometers.info/world-population/egypt-population/
 Philippines ," 117,724,471 "," 298,170 ",https://www.worldometers.info/world-population/philippines-population/
 DR Congo ," 116,452,162 "," 2,267,050 ",https://www.worldometers.info/world-population/democratic-republic-of-the-congo-population/
 Vietnam ," 102,177,431 "," 310,070 ",https://www.worldometers.info/world-population/vietnam-population/
 Iran ," 93,168,497 "," 1,628,550 ",https://www.worldometers.info/world-population/iran-population/
 Turkey ," 87,926,082 "," 769,630 ",https://www.worldometers.info/world-population/turkey-population/
 Germany ," 83,644,258 "," 348,560 ",https://www.worldometers.info/world-population/germany-population/
 Tanzania ," 72,563,780 "," 885,800 ",https://www.worldometers.info/world-population/tanzania-population/
 Thailand ," 71,559,614 "," 510,890 ",https://www.worldometers.info/world-population/thailand-population/
 United Kingdom ," 69,931,528 "," 241,930 ",https://www.worldometers.info/world-population/uk-population/
 France ," 66,746,401 "," 547,557 ",https://www.worldometers.info/world-population/france-population/
 South Africa ," 65,453,084 "," 1,213,090 ",https://www.worldometers.info/world-population/south-africa-population/
 Italy ," 58,926,166 "," 294,140 ",https://www.worldometers.info/world-population/italy-population/
 Kenya ," 58,636,412 "," 569,140 ",https://www.worldometers.info/world-population/kenya-population/
 Myanmar ," 55,184,819 "," 653,290 ",https://www.worldometers.info/world-population/myanmar-population/
 Colombia ," 53,936,226 "," 1,109,500 ",https://www.worldometers.info/world-population/colombia-population/
 Sudan ," 53,282,719 "," 1,765,048 ",https://www.worldometers.info/world-population/sudan-population/
 Uganda ," 52,761,469 "," 199,810 ",https://www.worldometers.info/world-population/uganda-population/
 South Korea ," 51,600,388 "," 97,230 ",https://www.worldometers.info/world-population/south-korea-population/
 Algeria ," 48,028,334 "," 2,381,740 ",https://www.worldometers.info/world-population/algeria-population/
 Iraq ," 48,007,437 "," 434,320 ",https://www.worldometers.info/world-population/iraq-population/
 Spain ," 47,850,793 "," 498,800 ",https://www.worldometers.info/world-population/spain-population/
 Argentina ," 46,003,734 "," 2,736,690 ",https://www.worldometers.info/world-population/argentina-population/
 Afghanistan ," 45,047,069 "," 652,860 ",https://www.worldometers.info/world-population/afghanistan-population/
 Yemen ," 42,961,653 "," 527,970 ",https://www.worldometers.info/world-population/yemen-population/
 Canada ," 40,467,728 "," 9,093,510 ",https://www.worldometers.info/world-population/canada-population/
 Angola ," 40,215,179 "," 1,246,700 ",https://www.worldometers.info/world-population/angola-population/
 Ukraine ," 39,535,849 "," 579,320 ",https://www.worldometers.info/world-population/ukraine-population/
 Morocco ," 38,762,441 "," 446,300 ",https://www.worldometers.info/world-population/morocco-population/
 Poland ," 37,843,188 "," 306,230 ",https://www.worldometers.info/world-population/poland-population/
 Uzbekistan ," 37,724,223 "," 425,400 ",https://www.worldometers.info/world-population/uzbekistan-population/
 Mozambique ," 36,639,851 "," 786,380 ",https://www.worldometers.info/world-population/mozambique-population/
