Rank,Visual magnitude(mV),Proper name[8],Bayerdesignation,Distance (ly),Spectral type,Celestial Hemisphere
0,0.000−26.74,Sun,,0.0,G2 V,
1,0.001−1.46,Sirius,αCanis Majoris,0008.6,"A0mA1 Va, DA2",Southern
2,0.003−0.74,Canopus,αCarinae,0310,A9 II,Southern
3,0.004−0.27 (0.01 + 1.33),Rigil Kentaurus& Toliman,αCentauri,0004.34,"G2 V, K1 V",Southern
4,0.005−0.05,Arcturus,αBoötis,0037,K0 III,Northern
5,0.03 (−0.02–0.07var),Vega,αLyrae,0025,A0 Va,Northern
6,0.08 (0.03–0.16var),Capella,αAurigae,0043,"K0 III, G1 III",Northern
7,0.13 (0.05–0.18var),Rigel,βOrionis,0860,B8 Ia,Southern
8,0.34,Procyon,αCanis Minoris,0011,F5 IV-V,Northern
9,0.46 (0.40–0.46var),Achernar,αEridani,0140,B3 Vpe,Southern
10,0.50 (0.0–1.6var),Betelgeuse,αOrionis,640,M1-M2 Ia-ab,Northern
11,0.61,Hadar,βCentauri,0390,B1 III,Southern
12,0.76,Altair,αAquilae,0017,A7 V,Northern
13,0.76 (1.33 + 1.73),Acrux,αCrucis,0320,"B0.5 IV, B1 V",Southern
14,0.86 (0.75–0.95var),Aldebaran,αTauri,0065,K5 III,Northern
15,0.96 (0.6–1.6var),Antares,αScorpii,0550,"M1.5 Iab-Ib, B2.5 V",Southern
16,0.97 (0.97–1.04var),Spica,αVirginis,0250,"B1 III-IV, B2 V",Southern
17,1.14,Pollux,βGeminorum,0034,K0 III,Northern
18,1.16,Fomalhaut,αPiscis Austrini,0025,A3 V,Southern
19,1.25 (1.21–1.29var),Deneb,αCygni,"2,600",A2 Ia,Northern
20,1.25 (1.23–1.31var),Mimosa,βCrucis,0280,"B0.5 III, B2 V",Southern
21,1.39,Regulus,αLeonis,0079,B8 IVn,Northern
22,1.50,Adhara,εCanis Majoris,0430,B2 II,Southern
23,1.58 (1.93 + 2.97),Castor,αGeminorum,0051,"A1 V, Am",Northern
24,1.63,Shaula,λScorpii,0570,B2 IV,Southern
25,1.64,Gacrux,γCrucis,0089,M3.5 III,Southern
26,1.64,Bellatrix,γOrionis,0250,B2 III,Northern
27,1.65,Elnath,βTauri/γAurigae,0130,B7 III,Northern
28,1.69,Miaplacidus,βCarinae,0110,A1 III,Southern
29,1.69 (1.64–1.74var),Alnilam,εOrionis,"1,180",B0 Ia,Southern
30,1.74,Alnair,αGruis,0100,B6 V,Southern
31,1.77,Alnitak,ζOrionis,"01,300","O9.5 Iab, B1 IV, B0 III",Southern
32,1.77,Alioth,εUrsae Majoris,0083,A1 III-IVp kB9,Northern
33,1.79,Dubhe,αUrsae Majoris,0120,"K0 III, F0 V",Northern
34,1.82,Mirfak,αPersei,0510,F5 Ib,Northern
35,1.82,Wezen,δCanis Majoris,"1,800",F8 Ia,Southern
36,1.83 (1.81–1.87var+ 4.27),–,γVelorum,0840,"WC8, O7.5III",Southern
37,1.84,Sargas,θScorpii,0330,F0 II,Southern
38,1.85,Kaus Australis,εSagittarii,0140,B9.5 III,Southern
39,1.86,Avior,εCarinae,0600,"K3 III, B2 Vp",Southern
40,1.86,Alkaid,ηUrsae Majoris,0100,B3 V,Northern
41,1.90 (1.89–1.94var),Menkalinan,βAurigae,080,A1mIV+A1mIV,Northern
42,1.91,Atria,αTringuli Australis,0390,K2 IIb-IIIa,Southern
